District,VDC Code,VDC,Ward,HH,Total,Male,Female
Dhading,44,Semjong,6,95,331,150,181
Dhading,44,Semjong,7,66,256,116,140
Dhading,44,Semjong,8,114,435,189,246
Dhading,44,Semjong,9,88,330,131,199
Dhading,45,Sertung,1,112,476,229,247
Dhading,45,Sertung,2,98,438,204,234
Dhading,45,Sertung,3,60,256,103,153
Dhading,45,Sertung,4,66,271,131,140
Dhading,45,Sertung,5,117,482,209,273
Dhading,45,Sertung,6,86,387,164,223
Dhading,45,Sertung,7,98,433,195,238
Dhading,45,Sertung,8,97,413,181,232
Dhading,45,Sertung,9,83,441,209,232
Dhading,46,SunaulaBazar,1,151,607,283,324
Dhading,46,SunaulaBazar,2,118,502,216,286
Dhading,46,SunaulaBazar,3,71,307,138,169
Dhading,46,SunaulaBazar,4,253,"1,263",581,682
Dhading,46,SunaulaBazar,5,94,374,161,213
Dhading,46,SunaulaBazar,6,233,963,434,529
Dhading,46,SunaulaBazar,7,321,"1,364",602,762
Dhading,46,SunaulaBazar,8,198,880,370,510
Dhading,46,SunaulaBazar,9,91,362,147,215
Dhading,47,Tasarpu,1,175,733,360,373
Dhading,47,Tasarpu,2,137,739,368,371
Dhading,47,Tasarpu,3,79,314,141,173
Dhading,47,Tasarpu,4,85,369,179,190
Dhading,47,Tasarpu,5,61,321,161,160
Dhading,47,Tasarpu,6,85,446,198,248
Dhading,47,Tasarpu,7,122,613,310,303
Dhading,47,Tasarpu,8,136,635,331,304
Dhading,47,Tasarpu,9,218,981,446,535
Dhading,48,Thakre,1,122,589,275,314
Dhading,48,Thakre,2,228,"1,042",498,544
Dhading,48,Thakre,3,611,"2,812","1,412","1,400"
Dhading,48,Thakre,4,317,"1,382",662,720
Dhading,48,Thakre,5,157,755,377,378
Dhading,48,Thakre,6,76,370,170,200
Dhading,48,Thakre,7,125,550,271,279
Dhading,48,Thakre,8,230,"1,031",480,551
Dhading,48,Thakre,9,275,"1,307",636,671
Dhading,49,Tipling,1,25,117,56,61
Dhading,49,Tipling,2,36,149,68,81
Dhading,49,Tipling,3,51,190,92,98
Dhading,49,Tipling,4,57,213,101,112
Dhading,49,Tipling,5,42,179,86,93
Dhading,49,Tipling,6,33,169,94,75
Dhading,49,Tipling,7,77,332,162,170
Dhading,49,Tipling,8,60,296,140,156
Dhading,49,Tipling,9,83,427,220,207
Dhading,50,Tripureswor,1,125,445,193,252
Dhading,50,Tripureswor,2,77,331,141,190
Dhading,50,Tripureswor,3,198,779,354,425
Dhading,50,Tripureswor,4,73,287,138,149
Dhading,50,Tripureswor,5,44,196,90,106
Dhading,50,Tripureswor,6,65,267,129,138
Dhading,50,Tripureswor,7,91,369,152,217
Dhading,50,Tripureswor,8,82,379,169,210
Dhading,50,Tripureswor,9,64,340,146,194
