District,VDC Code,VDC,Ward,HH,Total,Male,Female
Nuwakot,27,Kakani,8,125,673,348,325
Nuwakot,27,Kakani,9,48,270,125,145
Nuwakot,28,Kalikahalde,1,78,359,168,191
Nuwakot,28,Kalikahalde,2,83,364,174,190
Nuwakot,28,Kalikahalde,3,91,431,211,220
Nuwakot,28,Kalikahalde,4,76,411,201,210
Nuwakot,28,Kalikahalde,5,65,319,151,168
Nuwakot,28,Kalikahalde,6,44,172,90,82
Nuwakot,28,Kalikahalde,7,68,339,170,169
Nuwakot,28,Kalikahalde,8,153,728,351,377
Nuwakot,28,Kalikahalde,9,95,483,240,243
Nuwakot,29,Kalyanpur,1,189,901,420,481
Nuwakot,29,Kalyanpur,2,254,"1,083",501,582
Nuwakot,29,Kalyanpur,3,45,199,89,110
Nuwakot,29,Kalyanpur,4,84,392,170,222
Nuwakot,29,Kalyanpur,5,107,499,237,262
Nuwakot,29,Kalyanpur,6,110,502,238,264
Nuwakot,29,Kalyanpur,7,250,"1,111",494,617
Nuwakot,29,Kalyanpur,8,91,478,220,258
Nuwakot,29,Kalyanpur,9,113,557,238,319
Nuwakot,30,Kaule,1,111,471,240,231
Nuwakot,30,Kaule,2,96,411,184,227
Nuwakot,30,Kaule,3,56,217,78,139
Nuwakot,30,Kaule,4,91,334,136,198
Nuwakot,30,Kaule,5,115,443,191,252
Nuwakot,30,Kaule,6,57,235,105,130
Nuwakot,30,Kaule,7,62,268,128,140
Nuwakot,30,Kaule,8,80,307,136,171
Nuwakot,30,Kaule,9,71,307,148,159
Nuwakot,31,KhadagBhanjyang,1,87,379,167,212
Nuwakot,31,KhadagBhanjyang,2,88,401,168,233
Nuwakot,31,KhadagBhanjyang,3,135,594,261,333
Nuwakot,31,KhadagBhanjyang,4,159,703,327,376
Nuwakot,31,KhadagBhanjyang,5,200,844,383,461
Nuwakot,31,KhadagBhanjyang,6,222,955,408,547
Nuwakot,31,KhadagBhanjyang,7,243,"1,104",479,625
Nuwakot,31,KhadagBhanjyang,8,84,311,136,175
Nuwakot,31,KhadagBhanjyang,9,194,875,409,466
Nuwakot,32,Kharanitar,1,61,238,114,124
Nuwakot,32,Kharanitar,2,55,236,111,125
Nuwakot,32,Kharanitar,3,37,146,68,78
Nuwakot,32,Kharanitar,4,27,94,42,52
Nuwakot,32,Kharanitar,5,43,188,94,94
Nuwakot,32,Kharanitar,6,30,105,58,47
Nuwakot,32,Kharanitar,7,50,260,129,131
Nuwakot,32,Kharanitar,8,26,113,55,58
Nuwakot,32,Kharanitar,9,46,229,108,121
Nuwakot,33,KholegaunKhanigau,1,81,320,134,186
Nuwakot,33,KholegaunKhanigau,2,93,397,172,225
Nuwakot,33,KholegaunKhanigau,3,115,449,208,241
Nuwakot,33,KholegaunKhanigau,4,359,"1,630",766,864
Nuwakot,33,KholegaunKhanigau,5,175,881,391,490
Nuwakot,33,KholegaunKhanigau,6,140,607,294,313
Nuwakot,33,KholegaunKhanigau,7,54,206,86,120
Nuwakot,33,KholegaunKhanigau,8,107,446,194,252
Nuwakot,33,KholegaunKhanigau,9,86,394,161,233
Nuwakot,34,Kintang,1,42,190,86,104
Nuwakot,34,Kintang,2,70,328,153,175
Nuwakot,34,Kintang,3,64,286,132,154
Nuwakot,34,Kintang,4,64,294,149,145
Nuwakot,34,Kintang,5,43,168,85,83
Nuwakot,34,Kintang,6,47,177,83,94
Nuwakot,34,Kintang,7,56,223,98,125
Nuwakot,34,Kintang,8,30,118,53,65
Nuwakot,34,Kintang,9,43,192,78,114
Nuwakot,35,Kumari,1,144,787,367,420
Nuwakot,35,Kumari,2,88,487,241,246
Nuwakot,35,Kumari,3,257,"1,456",711,745
Nuwakot,35,Kumari,4,104,532,269,263
Nuwakot,35,Kumari,5,305,"1,651",788,863
Nuwakot,35,Kumari,6,235,"1,193",586,607
Nuwakot,35,Kumari,7,132,670,328,342
Nuwakot,35,Kumari,8,119,659,336,323
Nuwakot,35,Kumari,9,234,"1,237",637,600
Nuwakot,36,Lachyang,1,116,573,281,292
Nuwakot,36,Lachyang,2,116,565,284,281
Nuwakot,36,Lachyang,3,91,489,245,244
Nuwakot,36,Lachyang,4,79,420,212,208
Nuwakot,36,Lachyang,5,82,437,208,229
Nuwakot,36,Lachyang,6,67,326,160,166
Nuwakot,36,Lachyang,7,140,701,347,354
Nuwakot,36,Lachyang,8,98,498,258,240
Nuwakot,36,Lachyang,9,87,471,243,228
Nuwakot,37,Likhu,1,58,227,118,109
Nuwakot,37,Likhu,2,55,285,120,165
Nuwakot,37,Likhu,3,45,209,98,111
Nuwakot,37,Likhu,4,62,306,132,174
Nuwakot,37,Likhu,5,42,184,83,101
Nuwakot,37,Likhu,6,69,322,144,178
Nuwakot,37,Likhu,7,59,240,121,119
Nuwakot,37,Likhu,8,94,363,151,212
Nuwakot,37,Likhu,9,73,326,143,183
Nuwakot,38,Madanpur,1,188,967,466,501
Nuwakot,38,Madanpur,2,164,835,400,435
Nuwakot,38,Madanpur,3,152,842,435,407
Nuwakot,38,Madanpur,4,235,"1,148",573,575
Nuwakot,38,Madanpur,5,132,676,326,350
Nuwakot,38,Madanpur,6,86,419,205,214
